F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
0 S  1000  2324  1351  0  80   0 - 53514 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  2330  1351  0  80   0 - 53746 pipe_w ?        00:00:00 sd_dummy
0 S  1000  2333  1351  4  80   0 - 113735 hrtime ?       00:01:07 sd_espeak
0 S  1000  2343  1351  0  80   0 - 53746 pipe_w ?        00:00:00 sd_cicero
1 Z  1000  2344  2343  0  80   0 -     0 exit   ?        00:00:00 sd_cicero <defunct>
0 S  1000  2347  1351  0  80   0 - 53749 pipe_w ?        00:00:00 sd_generic
0 S  1000  2350  1351  0  80   0 - 108727 poll_s ?       00:00:00 gvfsd-trash
1 S  1000  2354  1351  0  80   0 - 25710 poll_s ?        00:00:01 speech-dispatch
0 S  1000  2379  1351  0  80   0 - 68005 poll_s ?        00:00:00 gvfsd-burn
0 S  1000  2482  1495  0  80   0 - 116400 poll_s ?       00:00:00 telepathy-indic
0 S  1000  2489  1351  0  80   0 - 80587 poll_s ?        00:00:00 mission-control
0 S  1000  2526  1495  0  80   0 - 118959 poll_s ?       00:00:00 zeitgeist-datah
0 S  1000  2531  1351  0  80   0 - 87215 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  2537  1351  0  80   0 - 63550 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  2551  2537  0  80   0 -  3221 unix_s ?        00:00:00 cat
4 S     0  2601     1  0  80   0 - 19741 ep_pol ?        00:00:01 cupsd
0 S  1000  2663  1351  2  80   0 - 186867 poll_s ?       00:00:33 gedit
0 S  1000  2740  1495  0  80   0 - 124722 poll_s ?       00:00:00 update-notifier
0 S  1000  2938  1495  0  80   0 - 94905 poll_s ?        00:00:00 deja-dup-monito
0 S  1000  2999  1351  0  80   0 - 31546 poll_s ?        00:00:00 gvfsd-metadata
0 R  1000  3167  1351  0  80   0 - 164850 -     ?        00:00:04 gnome-terminal
0 S  1000  3176  3167  0  80   0 -  3706 unix_s ?        00:00:00 gnome-pty-helpe
0 S  1000  3177  3167  0  80   0 -  7184 n_tty_ pts/3    00:00:00 bash
0 S  1000  3636  3167  0  80   0 -  7198 wait   pts/5    00:00:00 bash
0 S  1000  3920  1351  0  80   0 - 134897 poll_s ?       00:00:00 unity-scope-hom
0 S  1000  3935  1351  0  80   0 - 179686 poll_s ?       00:00:00 unity-files-dae
1 S     0  4691     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:1
1 S     0  5517     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:1
1 S     0  5936     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
1 S     0  6034     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:2
1 S     0  7634     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
1 S     0  8186     2  0  80   0 -     0 worker ?        00:00:00 kworker/2:2
1 S     0  9108     2  0  80   0 -     0 worker ?        00:00:00 kworker/1:0
0 R  1000  9121  3636  0  80   0 -  3921 -      pts/5    00:00:00 ps
