UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
jonas     1489  1351  1505  0    5 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jonas     1489  1351  1506  0    5 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jonas     1489  1351  1510  0    5 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jonas     1489  1351  1514  0    5 15:40 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
jonas     1492  1459  1492  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-dconf
jonas     1492  1459  1507  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-dconf
jonas     1492  1459  1511  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-dconf
jonas     1492  1459  1513  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-dconf
jonas     1493  1351  1493  0    4 15:40 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
jonas     1493  1351  1499  0    4 15:40 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
jonas     1493  1351  1504  0    4 15:40 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
jonas     1493  1351  1509  0    4 15:40 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher --launch-immediately
jonas     1494  1459  1494  0    4 15:40 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
jonas     1494  1459  1566  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
jonas     1494  1459  1575  0    4 15:40 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
jonas     1494  1459  1578  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-ui-gtk3
jonas     1495  1351  1495  0    4 15:40 ?        00:00:00 gnome-session --session=ubuntu
jonas     1495  1351  1582  0    4 15:40 ?        00:00:00 gnome-session --session=ubuntu
jonas     1495  1351  1583  0    4 15:40 ?        00:00:00 gnome-session --session=ubuntu
jonas     1495  1351  1591  0    4 15:40 ?        00:00:00 gnome-session --session=ubuntu
jonas     1498  1351  1498  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
jonas     1498  1351  1541  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
jonas     1498  1351  1562  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
jonas     1498  1351  1570  0    4 15:40 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
jonas     1501  1351  1501  0    3 15:40 ?        00:00:06 /usr/lib/unity/unity-panel-service
jonas     1501  1351  1540  0    3 15:40 ?        00:00:00 /usr/lib/unity/unity-panel-service
jonas     1501  1351  1544  0    3 15:40 ?        00:00:01 /usr/lib/unity/unity-panel-service
jonas     1508  1493  1508  0    1 15:40 ?        00:00:08 /bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
jonas     1531  1351  1531  0    2 15:40 ?        00:00:03 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
jonas     1531  1351  1535  0    2 15:40 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
root      1581     1  1581  0    3 15:40 ?        00:00:00 /usr/lib/upower/upowerd
root      1581     1  1587  0    3 15:40 ?        00:00:00 /usr/lib/upower/upowerd
root      1581     1  1588  0    3 15:40 ?        00:00:00 /usr/lib/upower/upowerd
jonas     1619  1351  1619  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
jonas     1619  1351  1710  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
jonas     1619  1351  1724  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-keyboard-service --use-gtk
jonas     1627  1351  1627  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
jonas     1627  1351  1632  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
jonas     1627  1351  1633  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
jonas     1627  1351  1643  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-messages/indicator-messages-service
jonas     1631  1351  1631  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
jonas     1631  1351  1659  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
jonas     1631  1351  1676  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-bluetooth/indicator-bluetooth-service
jonas     1637  1351  1637  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
jonas     1637  1351  1641  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
jonas     1637  1351  1645  0    3 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-power/indicator-power-service
jonas     1639  1351  1639  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1639  1351  1699  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1639  1351  1706  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1639  1351  1722  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1639  1351  1730  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1639  1351  1961  0    6 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-datetime/indicator-datetime-service
jonas     1642  1351  1642  0    4 15:40 ?        00:00:00 /usr/lib/x86_64-linux-gnu/indicator-sound/indicator-sound-service
